Site.Name,Code,RdDens.1KM,RdS,Conn,ConnS,Invasive,Inv_C,Area_07,Area_17,Nat_07,NIS_07,Nat_17,NIS_17,Rich_07,Rich_17,AreaC,NatC,NISC,RichC,RD_07,RD_17,RDC,Turnover
Gore Park,GORE,6.1,0.384974535,39619.77,-0.406740278,High,3,1.548,1.34,62,39,69,47,101,116,0.13,0.112903226,0.205128205,0.148514851,0.315709462,0.309933851,-0.018294071,0.277777778
Horth Hill Regional Park,HORTH,2.89,-0.631839719,22215.26,-0.437063236,None,0,1.216,0.871,49,33,50,40,82,90,0.28,0.020408163,0.212121212,0.097560976,0.31249304,0.313331366,0.002682702,0.28
Knockan Hill Park (N),KNOCKAN-N,5.79,0.28677752,49476.64,-0.389567175,Med,2,3.185,2.88,54,57,53,58,111,111,0.1,-0.018518519,0.01754386,0,0.314978309,0.312787876,-0.006954236,0.330827068
Knockan Hill Park (S),KNOCKAN-S,4.35,-0.169363454,62155.21,-0.367477972,Low,1,1.27,1.109,39,58,43,58,97,101,0.13,0.102564103,0,0.041237113,0.32396952,0.309473447,-0.044745175,0.37704918
Konukson,KONUKSON,8.31,1.085024224,70719.17,-0.352557437,None,0,0.595,0.565,33,40,41,38,73,79,0.05,0.242424242,-0.05,0.082191781,0.324096957,0.310969708,-0.04050408,0.365591398
Konukson (A),KONUKSON-A,2.27,-0.82823375,72684.95,-0.349132563,None,0,0.178,0.134,27,45,30,29,72,59,0.25,0.111111111,-0.355555556,-0.180555556,0.328022199,0.325735871,-0.00697004,0.402439024
Layritz Park,LAYRITZ,2.08,-0.888419017,42008.72,-0.402578137,None,0,4.431,3.491,52,55,51,53,107,104,0.21,-0.019230769,-0.036363636,-0.028037383,0.314073417,0.322222621,0.025946811,0.298387097
Little Mt Doug,LILDOUG,0.79,-1.297045306,254285.7,-0.032739173,High,3,8.815,8.815,61,45,57,54,106,111,0,-0.06557377,0.2,0.047169811,0.317362513,0.316983509,-0.001194228,0.264
Moss Rock Park,MOSSROCK,7.64,0.872791965,51199.58,-0.386565387,Med,2,2.032,1.978,25,57,32,65,82,97,0.03,0.28,0.140350877,0.182926829,0.331787761,0.325362754,-0.019364811,0.372727273
Peacock Park,PEACOCK,9.92,1.595015174,65664.79,-0.361363416,Low,1,1.146,1.034,21,50,25,63,71,88,0.1,0.19047619,0.26,0.23943662,0.327116968,0.316903356,-0.031223119,0.326315789
Thetis Lake (Scafe (E)),SCAFE-E,5.43,0.172742276,881894,1.060709602,Low,1,5.028,5.028,64,35,76,42,99,118,0,0.1875,0.2,0.191919192,0.310970719,0.310484574,-0.001563313,0.25
Thetis Lake (Scafe (W)),SCAFE-W,8.33,1.091359515,533719.8,0.454104093,None,0,1.843,1.649,47,29,48,34,76,82,0.11,0.021276596,0.172413793,0.078947368,0.315756295,0.308175949,-0.02400695,0.263736264
Thetis Lake (Seymour (S)),SEYMOUR,3.44,-0.457619208,2342245,3.605001977,None,0,3.267,3.022,65,41,71,52,106,123,0.07,0.092307692,0.268292683,0.160377358,0.312286737,0.325499571,0.042309944,0.251908397
Thetis Lake (Mount Stewart),STEWART,0.69,-1.328721763,476104.7,0.353724349,None,0,6.524,5.833,70,35,76,49,105,125,0.11,0.085714286,0.4,0.19047619,0.310963716,0.316522089,0.017874667,0.257575758
Summit Park,SUMMIT,11.26,2.019479691,33108.48,-0.418084555,High,3,5.882,4.961,25,67,36,66,92,102,0.16,0.44,-0.014925373,0.108695652,0.332558492,0.307840084,-0.074328003,0.369747899
Christmas Hill,XMAS,3.44,-0.457619208,65270.2,-0.36205089,High,3,8.721,8.721,50,62,60,69,112,129,0,0.2,0.112903226,0.151785714,0.326842158,0.32053772,-0.019288937,0.337931034
